"%s file does not exists or is not readable","Arquivo %s não existe ou não é legível"
"-- Please Select --","-- Por favor selecione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptador deve ser uma instância de Maho_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Objeto adaptador deve ser uma instância de %s"
"Adapter type must be a non empty string","Tipo de adaptador deve ser uma string não vazia"
"Append Complex Data","Anexar Dados Complexos"
"Attribute Code","Código do Atributo"
"Attribute Label","Rótulo do atributo"
"Attribute does not has options, so filtering is impossible","O atributo não tem opções, portanto a filtragem é impossível"
"Begin data validation","Iniciar a validação de dados"
"Begin export of %s","Iniciar exportação de %s"
"Begin import of ""%s"" with ""%s"" behavior","Iniciar importação de ""%s"" com comportamento ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Não é possível determinar o tipo de filtro de atributo"
"Can not find required columns: %s","Não é possível encontrar colunas necessárias: %s"
"Cannot get autoincrement value","Não foi possível obter o valor de auto-incremento"
"Check Data","Verificar dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Linhas verificadas: %d, entidades verificadas: %d, linhas inválidas: %d, total de erros: %d"
"Column names have duplicates","Os nomes das colunas têm duplicados"
"Column names is empty or is not an array","Os nomes de coluna estão vazios ou não são um array"
"Column names: ""%s"" are invalid","Nomes de coluna: ""%s"" são inválidos"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Os dados são inválidos ou o arquivo não foi carregado"
"Delete Entities","Excluir Entidades"
"Destination directory is not writable","O diretório de destino não é gravável"
"Destination file is not writable","O arquivo de destino não é gravável"
"Destination file path must be a string","Caminho do arquivo de destino deve ser uma string"
"Done import data validation","Concluso validação de importação de dados"
"Duplicate Unique Attribute for '%s'","Duplicar Atributo Único para '%s'"
"Entity Type","Tipo de entidade"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entidade adaptador objeto deve ser uma instância de Maho_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entidade adaptador objeto deve ser uma instância de Maho_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","A entidade é desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Tipo de modelo de entidade deve ser uma instância de Maho_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Tipo de modelo de entidade deve ser uma instância de Maho_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: comportamentos são misturados"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: códigos de entidade estão misturados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Erros limite (%d) alcançado. Por favor, corrija erros e reenvie arquivo."
"Escape CSV fields","Escapar campos CSV"
"Export","Exportar"
"Export File Format","Formato do arquivo de exportação"
"Export Settings","Exportar Configurações"
"Export has been done.","Exportação foi realizada."
"Exported %s rows.","Exportados %s linhas."
"File does not contain data.","Arquivo não contém dados."
"File does not contain data. Please upload another one","O arquivo não contém dados. Por favor, faça upload de outro."
"File format is unknown","Formato de arquivo desconhecido"
"File is partially valid, but import is not possible","O arquivo está parcialmente válido, mas a importação não é possível"
"File is totally invalid. Please fix errors and re-upload file","Arquivo é totalmente inválido. Por favor, corrija erros e reenvie arquivo"
"File is valid! To start import process press ""Import"" button","O arquivo é válido! Para iniciar o processo de importação clique no botão ""Importar"""
"File is valid, but import is not possible","O arquivo é válido, mas a importação não é possível"
"File was not uploaded","Arquivo não foi carregado"
"Filter","Filtro"
"From","De"
"Header column names already set","Cabeçalhos de coluna já definidos"
"Import","Importar"
"Import Behavior","Comportamento de Importação"
"Import CSV","Importar CSV"
"Import Settings","Importar Configurações"
"Import has been done successfuly.","A importação foi realizada com sucesso."
"Import successfully done.","Importação realizada com sucesso."
"Import/Export","Importar/Exportar"
"Incorrect entity type","Tipo de entidade incorreto"
"Input entity code is not equal to entity adapter code","Código de entidade de entrada não é igual ao código do adaptador de entidade"
"Invalid entity","Entidade Inválida"
"Invalid entity model","Modelo de entidade inválido"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição de busca inválida"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para coluna '%s'"
"Invalid value in SKU column. HTML tags are not allowed","Valor inválido na coluna de SKU. Tags HTML não são permitidas"
"No filter data provided","Nenhum dado de filtro fornecido"
"No source specified","Please provide the content to be translated to pt_BR. I'm ready to assist you!"
"No valid data sent","Nenhum dado válido enviado"
"No writer specified","Nenhum autor especificado"
"Node does not has model token tag","O nó não tem etiqueta de token de modelo"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Corrigir erros e reupload arquivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor, corrija os erros e envie novamente o arquivo ou simplesmente clique no botão ""Importar"" para ignorar as linhas com erros"
"Products","Produtos"
"Replace Existing Complex Data","Substituir Dados Complexos Existentes"
"Select File to Import","Selecione o arquivo de importação"
"Skip","Pular"
"Source file moving failed","Arquivo de origem movimentação falhou"
"Source file path must be a string","Caminho do arquivo de origem deve ser uma string"
"Source is not set","Fonte não definida"
"Status","Situação"
"There are no product types available for export","Nenhum tipo de produto está disponível para exportação"
"There is no data for export","Não há dados para exportação"
"To","Até"
"Total size of uploadable files must not exceed %s","Tamanho total dos arquivos uploadáveis não deve exceder %s"
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
"Uploaded file has no extension","O arquivo carregado não tem extensão"
"Validation finished successfully","Validação concluída com sucesso"
"in rows","em linhas"
"in rows:","em linhas:"
